"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","new_species"
"Quercus rubra","Quercus","","rubra",NA,NA,"","","kew-174902",TRUE,"1.1","Accepted","Fagaceae","Quercus","","rubra","","","L.","kew-174902","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Quercus_rubra"
"Acer pensylvanicum","Acer","","pensylvanicum",NA,NA,"","","kew-2616210",TRUE,"1.1","Accepted","Sapindaceae","Acer","","pensylvanicum","","","L.","kew-2616210","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Acer_pensylvanicum"
"Fraxinus americana","Fraxinus","","americana",NA,NA,"","","kew-369468",TRUE,"1.1","Accepted","Oleaceae","Fraxinus","","americana","","","L.","kew-369468","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Fraxinus_americana"
"Populus × euramericana","Populus","×","euramericana",NA,NA,"","","kew-5004276",TRUE,"1.1","Synonym","Salicaceae","Populus","×","canadensis","","","Moench","kew-5004301","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Populus_canadensis"
"Picea mariana","Picea","","mariana",NA,NA,"","","kew-2563398",TRUE,"1.1","Accepted","Pinaceae","Picea","","mariana","","","(Mill.) Britton, Sterns & Poggenb.","kew-2563398","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Picea_mariana"
"Picea glauca","Picea","","glauca",NA,NA,"","","kew-2563473",TRUE,"1.1","Accepted","Pinaceae","Picea","","glauca","","","(Moench) Voss","kew-2563473","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Picea_glauca"
"Populus euramericana","Populus","","euramericana",NA,NA,"","","tro-28301365",TRUE,"1.1","Synonym","Salicaceae","Populus","×","canadensis","","","Moench","kew-5004301","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Populus_canadensis"
"Maranthes corymbosa","Maranthes","","corymbosa",NA,NA,"","","kew-354301",TRUE,"1.1","Accepted","Chrysobalanaceae","Maranthes","","corymbosa","","","Blume","kew-354301","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Maranthes_corymbosa"
"Acer saccharum","Acer","","saccharum",NA,NA,"","","kew-2616387",TRUE,"1.1","Accepted","Sapindaceae","Acer","","saccharum","","","Marshall","kew-2616387","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Acer_saccharum"
"Populus tremuloides","Populus","","tremuloides",NA,NA,"","","kew-5000290",TRUE,"1.1","Accepted","Salicaceae","Populus","","tremuloides","","","Michx.","kew-5000290","Accepted",FALSE,FALSE,FALSE,2017-10-18,"Populus_tremuloides"
